target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,exponential_smoothing,96,2,97,0.0,4.308052758246753e-95,0.0,0.5067556277682695,4.308052758246753e-95,4.308052758246753e-95,1,0.5067556277682695,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,98,1,98,0.0,9.565798727010917e-111,0.0,0.3578820868254255,9.565798727010917e-111,9.565798727010917e-111,1,0.3578820868254255,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,98,2,99,0.0,9.565798727010917e-111,0.0,0.5061217009189023,9.565798727010917e-111,9.565798727010917e-111,1,0.5061217009189023,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,100,1,100,0.0,2.1240339991315065e-126,0.0,0.35743383285146174,2.1240339991315065e-126,2.1240339991315065e-126,1,0.35743383285146174,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,100,2,101,0.0,2.1240339991315065e-126,0.0,0.5054877740695352,2.1240339991315065e-126,2.1240339991315065e-126,1,0.5054877740695352,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,102,1,102,0.0,4.7163029018448965e-142,0.0,0.35635423435932945,4.7163029018448965e-142,4.7163029018448965e-142,1,0.35635423435932945,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,102,2,103,0.0,4.7163029018448965e-142,0.0,0.5039609912400441,4.7163029018448965e-142,4.7163029018448965e-142,1,0.5039609912400441,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,104,1,104,0.43524416262512,1.0472296145469288e-157,0.0,0.35464329134902856,-0.43524416262512,0.43524416262512,0,0.35464329134902856,0.10881104065628003,-0.10881104065627997,1.0000000000000002
actionable_probability_mass,exponential_smoothing,104,2,105,0.0,1.0472296145469288e-157,0.0,0.5015413524304292,1.0472296145469288e-157,1.0472296145469288e-157,1,0.5015413524304292,0.10881104065628003,-0.10881104065627997,1.0000000000000002
actionable_probability_mass,exponential_smoothing,106,1,106,0.0,6.485643329314539e-09,0.0,0.35833034728503266,6.485643329314539e-09,6.485643329314539e-09,1,0.35833034728503266,0.10881104227769087,-0.10881103903486913,1.0000000149011612
