target,model,origin,horizon_step,period_index,actual,forecast,lower,upper
actionable_probability_mass,mean,62,1,62,0.0,0.0,0.0,0.5136020168978623
actionable_probability_mass,mean,62,2,63,0.3486549908129756,0.0,0.0,0.7263429379591325
actionable_probability_mass,mean,64,1,64,0.0,0.04358187385162195,0.0,0.5049586392515129
actionable_probability_mass,mean,64,2,65,0.0,0.04358187385162195,0.0,0.6960671528439774
actionable_probability_mass,mean,66,1,66,0.0,0.04358187385162195,0.0,0.496315261605163
actionable_probability_mass,mean,66,2,67,0.0,0.04358187385162195,0.0,0.683843570951797
actionable_probability_mass,mean,68,1,68,0.0,0.04358187385162195,0.0,0.4876718839588135
actionable_probability_mass,mean,68,2,69,0.5081170016051968,0.04358187385162195,0.0,0.6716199890596172
actionable_probability_mass,mean,70,1,70,0.0,0.10709649905227155,0.0,0.5090976720167809
actionable_probability_mass,mean,70,2,71,0.0,0.10709649905227155,0.0,0.6756120099485731
actionable_probability_mass,mean,72,1,72,0.5441053470867225,0.0635146252006496,0.0,0.504775983193606
actionable_probability_mass,mean,72,2,73,0.0,0.0635146252006496,0.0,0.6875524222254581
actionable_probability_mass,mean,74,1,74,0.0,0.13152779358648992,0.0,0.5149816944862851
actionable_probability_mass,mean,74,2,75,0.5112215962029143,0.13152779358648992,0.0,0.673813500783849
actionable_probability_mass,mean,76,1,76,0.3528092722819265,0.1954304931118542,0.0,0.5145726509619757
actionable_probability_mass,mean,76,2,77,0.0,0.1954304931118542,0.0,0.6467656610685112
actionable_probability_mass,mean,78,1,78,0.0,0.17601702694644542,0.0,0.5132322290583512
actionable_probability_mass,mean,78,2,79,0.0,0.17601702694644542,0.0,0.6529113392114869
actionable_probability_mass,mean,80,1,80,0.0,0.17601702694644542,0.0,0.5118918071547267
actionable_probability_mass,mean,80,2,81,0.0,0.17601702694644542,0.0,0.6510156963760793
actionable_probability_mass,mean,82,1,82,0.0,0.1080038585606051,0.0,0.5109111367431426
actionable_probability_mass,mean,82,2,83,0.3594509757342988,0.1080038585606051,0.0,0.677800795745179
actionable_probability_mass,mean,84,1,84,0.0,0.08903253100202815,0.0,0.5102902178235991
actionable_probability_mass,mean,84,2,85,0.0,0.08903253100202815,0.0,0.6847808649590116
actionable_probability_mass,mean,86,1,86,0.0,0.04493137196678735,0.0,0.5096692989040555
actionable_probability_mass,mean,86,2,87,0.0,0.04493137196678735,0.0,0.7021700511906286
actionable_probability_mass,mean,88,1,88,0.0,0.04493137196678735,0.0,0.509048379984512
actionable_probability_mass,mean,88,2,89,0.0,0.04493137196678735,0.0,0.7012919392334761
actionable_probability_mass,mean,90,1,90,0.0,0.04493137196678735,0.0,0.5084274610649685
actionable_probability_mass,mean,90,2,91,0.0,0.04493137196678735,0.0,0.7004138272763236
actionable_probability_mass,mean,92,1,92,0.0,0.0,0.0,0.5047759831936062
actionable_probability_mass,mean,92,2,93,0.0,0.0,0.0,0.7138610413926114
actionable_probability_mass,mean,94,1,94,0.0,0.0,0.0,0.4980939463704245
actionable_probability_mass,mean,94,2,95,0.0,0.0,0.0,0.7044112142929914
actionable_probability_mass,mean,96,1,96,0.0,0.0,0.0,0.4914119095472428
actionable_probability_mass,mean,96,2,97,0.0,0.0,0.0,0.6949613871933714
actionable_probability_mass,mean,98,1,98,0.0,0.0,0.0,0.4847298727240611
actionable_probability_mass,mean,98,2,99,0.0,0.0,0.0,0.6855115600937515
actionable_probability_mass,mean,100,1,100,0.0,0.0,0.0,0.47804783590087985
actionable_probability_mass,mean,100,2,101,0.0,0.0,0.0,0.6760617329941321
actionable_probability_mass,mean,102,1,102,0.0,0.0,0.0,0.47433464682763654
actionable_probability_mass,mean,102,2,103,0.0,0.0,0.0,0.6708104906470959
actionable_probability_mass,mean,104,1,104,0.43524416262512,0.0,0.0,0.473590305504332
actionable_probability_mass,mean,104,2,105,0.0,0.0,0.0,0.6697578330526438
actionable_probability_mass,mean,106,1,106,0.0,0.05440552032814,0.0,0.4728459641810275
actionable_probability_mass,mean,106,2,107,0.0,0.05440552032814,0.0,0.6461696710703111
actionable_probability_mass,mean,108,1,108,0.0,0.05440552032814,0.0,0.47210162285772295
actionable_probability_mass,mean,108,2,109,0.0,0.05440552032814,0.0,0.645117013475859
actionable_probability_mass,mean,110,1,110,0.0,0.05440552032814,0.0,0.47135728153441847
actionable_probability_mass,mean,110,2,111,3.44480621866376,0.05440552032814,0.0,0.6440643558814072
actionable_probability_mass,mean,112,1,112,1.9096506040024297,0.48500629766111,0.0,0.48500629766111
actionable_probability_mass,mean,112,2,113,3.891809400615239,0.48500629766111,0.0,0.48500629766111
